Class Name,Major,Year,Student Name,Gender,Birth Date,Registration Number
3 ع ت 1,علوم تجريبية,2024-2025,بن علي محمد,M,15/05/2008,2024-0001
3 ع ت 1,علوم تجريبية,2024-2025,قاسي سارة,F,22/08/2008,2024-0002
3 ع ت 1,علوم تجريبية,2024-2025,منصوري كريم,M,10/03/2008,2024-0003
3 ع ت 1,علوم تجريبية,2024-2025,رحماني ليلى,F,18/11/2008,2024-0004
3 ع ت 1,علوم تجريبية,2024-2025,سعيدي يوسف,M,05/07/2008,2024-0005
3 ع ت 1,علوم تجريبية,2024-2025,دحماني فاطمة,F,12/09/2008,2024-0006
3 ع ت 1,علوم تجريبية,2024-2025,زروقي أمين,M,28/02/2008,2024-0007
3 ع ت 1,علوم تجريبية,2024-2025,بوزيد نادية,F,14/06/2008,2024-0008
3 ع ت 1,علوم تجريبية,2024-2025,لعريبي خالد,M,03/12/2008,2024-0009
3 ع ت 1,علوم تجريبية,2024-2025,محدادي هدى,F,21/04/2008,2024-0010
2 ع ت 1,علوم تجريبية,2024-2025,بلقاسم عمر,M,17/01/2009,2024-0011
2 ع ت 1,علوم تجريبية,2024-2025,شريف ياسمين,F,09/10/2009,2024-0012
2 ع ت 1,علوم تجريبية,2024-2025,عامر رياض,M,25/03/2009,2024-0013
2 ع ت 1,علوم تجريبية,2024-2025,حاج أحمد سامية,F,11/08/2009,2024-0014
2 ع ت 1,علوم تجريبية,2024-2025,سردواي بلال,M,06/05/2009,2024-0015
1 ع ت 1,علوم تجريبية,2024-2025,قاسي فارس,M,19/07/2010,2024-0016
1 ع ت 1,علوم تجريبية,2024-2025,منصوري صوفيا,F,02/11/2010,2024-0017
1 ع ت 1,علوم تجريبية,2024-2025,رحماني إبراهيم,M,23/02/2010,2024-0018
1 ع ت 1,علوم تجريبية,2024-2025,سعيدي شاهيناز,F,08/09/2010,2024-0019
1 ع ت 1,علوم تجريبية,2024-2025,دحماني آدم,M,15/12/2010,2024-0020
